District,TotalLit15Abv
Ampara,88.60670434
Anuradhapura,93.44277776
Badulla,83.1983402
Batticaloa,80.23210482
Colombo,95.47487576
Galle,96.53260698
Gampaha,96.62911844
Hambantota,87.59934702
Jaffna,94.9863095
Kalutara,93.7800734
Kandy,91.53914713
Kegalle,94.51214811
Kilinochchi,91.10898512
Kurunegala,93.93536646
Mannar,98.47137407
Matale,87.87271232
Matara,90.13105988
Moneragala,89.60995094
Mullaitivu,96.71269282
Nuwara Eliya,83.17587158
Polonnaruwa,88.05877387
Puttalam,90.22509573
Ratnapura,89.22734905
Trincomalee,88.48586255
Vavuniya,92.39931631
