District,TotalLit_15_24,MaleLit_15_24,FemaleLit_15_24
Ampara,98.37350382,98.79328628,97.96098811
Anuradhapura,98.20919138,99.19504747,97.29529798
Badulla,95.92070121,94.93917959,96.76875337
Batticaloa,93.8024532,92.31528641,95.37166568
Colombo,98.39203519,99.47343175,97.11520708
Galle,98.86436055,98.88619054,98.8424388
Gampaha,99.52525375,99.63777949,99.41441094
Hambantota,99.7377551,99.42065719,100.0
Jaffna,99.58651798,99.79627046,99.38863561
Kalutara,99.51808429,100.0,99.05001178
Kandy,99.32553414,99.67706956,99.02396283
Kegalle,98.08056162,98.29530321,97.88060639
Kilinochchi,98.53913043,97.870265,99.03928007
Kurunegala,99.04931694,98.99599447,99.09802668
Mannar,98.65365197,98.54454725,98.74753981
Matale,98.23015606,97.27659275,98.96297497
Matara,98.28988405,99.65857065,97.0226035
Moneragala,98.55258628,100.0,97.16140761
Mullaitivu,99.36458628,100.0,98.78999731
Nuwara Eliya,98.51852655,98.58798132,98.45336633
Polonnaruwa,95.36675994,91.76604884,99.09679831
Puttalam,97.9644874,98.29145729,97.59407958
Ratnapura,98.60107142,98.19099974,98.94684647
Trincomalee,99.14030068,99.1347947,99.14496696
Vavuniya,97.56703416,98.9824803,96.43294925
