District,Total Person,Male,Female,Less than 15 years,15 - 59 Years,60 years and over
Ampara,648057,314810,333247,194654,401607,51796
Anuradhapura,856232,419426,436806,236458,543460,76314
Badulla,811758,390316,421442,224802,494621,92335
Batticaloa,525142,250837,274305,164394,321868,38880
Colombo,2309809,1137114,1172695,516741,1484820,308248
Galle,1058771,508497,550274,268217,636680,153874
Gampaha,2294641,1115349,1179292,536758,1467497,290386
Hambantota,596617,293567,303050,157259,369879,69479
Jaffna,583378,275533,307845,144866,354732,83780
Kalutara,1217260,590781,626479,303196,744100,169964
Kandy,1369899,649790,720109,358152,829753,181994
Kegalle,836603,400083,436520,204261,510595,121747
Kilinochchi,112875,55658,57217,37315,65734,9826
Kurunegala,1610299,775061,835238,403394,1001966,204939
Mannar,99051,49967,49084,28960,62256,7835
Matale,482229,232855,249374,127811,296586,57832
Matara,809344,388604,420740,205987,485396,117961
Moneragala,448142,223469,224673,121882,285329,40931
Mullaitivu,91947,46180,45767,28409,55882,7656
Nuwara Eliya,706588,338646,367942,205617,417982,82989
Polonnaruwa,403335,199841,203494,108266,256457,38612
Puttalam,759776,368860,390916,213225,469117,77434
Ratnapura,1082277,535020,547257,268379,675910,137988
Trincomalee,378182,187357,190825,121726,225573,30883
Vavuniya,171511,84780,86731,48198,108667,14646
